acc_macro,prec_macro,rec_macro,f1_macro,acc_micro,prec_micro,rec_micro,f1_micro,rec_at_5,prec_at_5,f1_at_5,auc_macro,auc_micro,loss_dev,acc_macro_te,prec_macro_te,rec_macro_te,f1_macro_te,acc_micro_te,prec_micro_te,rec_micro_te,f1_micro_te,rec_at_5_te,prec_at_5_te,f1_at_5_te,auc_macro_te,auc_micro_te,loss_test_te,loss_tr
0.2604948483902282,0.44975479860883594,0.3420642939924354,0.38858638063508194,0.3164906580016247,0.5627618084645385,0.4196919099429064,0.48080957669998764,0.4495543294361244,0.47539732994278455,0.46211480505188823,0.779491599634192,0.8284825885247243,0.39027383467519994,0.25212600595620854,0.43179253097956655,0.33410325348840336,0.3767178051057638,0.3109747395461681,0.5519949335022166,0.4159587668225637,0.47441759198780753,0.43251769069225604,0.4735685367264315,0.4521131956126288,0.7695078300594276,0.8204341465904681,0.4080529836571504,nan
0.2930317652999253,0.5101292781712035,0.37666412966125473,0.43335324525412544,0.355883322346737,0.6022030117122141,0.4652590757298287,0.5249468246733515,0.5007590017151768,0.5223140495867769,0.5113094548234559,0.8195222531441302,0.8591140092258637,0.35828510901546706,0.28942176595630564,0.5047134100913503,0.3723345396554848,0.4285335488408762,0.35320732686273076,0.600049590875279,0.4619643027584232,0.5220298765032626,0.49898581890595295,0.5286292654713707,0.5133799823281477,0.8120930412320684,0.8544723589848907,0.3713153104659788,nan
0.26614051646359393,0.4467225932525046,0.37183043146608397,0.40585044481836025,0.32351822262801494,0.5241617357001972,0.458041581385328,0.48887611382581203,0.4597337651706903,0.48862047043865237,0.47373717579254865,0.7928302486876473,0.844542341903651,0.293031913446806,0.25557155386263086,0.42815605163787596,0.3615001010634869,0.392014816597195,0.31583892617449666,0.5155000547705115,0.4491743819795743,0.48005712536978473,0.4452851507145897,0.4794679005205321,0.46174475674546306,0.7878059598823363,0.837006185193458,0.30535296445088694,nan
0.014481164482492967,0.1078297942907972,0.019359157004261687,0.03282508262168334,0.03928858520900322,0.36886792452830186,0.042120004308951846,0.07560669051532437,0.2109145021707832,0.2381436745073109,0.2237035518444028,0.5374352213318148,0.6096296355504125,0.37305374971181815,0.011853846147566936,0.09671368632228543,0.016232267942472324,0.027798826090000183,0.03401056117425937,0.35315985130111527,0.036269924596735705,0.06578377910499436,0.2123481247958164,0.2446500867553499,0.22735750749350944,0.5361923259160253,0.6122649009144162,0.3774355155124424,nan
0.2712212475739656,0.4646509417842596,0.35926184965192304,0.405216082388863,0.3393120393120393,0.585997171145686,0.44629968760099104,0.506696019079068,0.4774452882362529,0.5043865225683408,0.4905462748304672,0.8045684913184228,0.8535132018783526,0.30354317802597175,0.27510969575940775,0.46868208626476443,0.3604480067537928,0.40750064487542964,0.3425925925925926,0.59196271101033,0.44850625178963444,0.5103448275862069,0.4730319343369219,0.5073452862926547,0.48958812404396196,0.797514975333888,0.8511315597882346,0.30995275661836236,nan
0.27580192268724396,0.4822064513354377,0.3546750817743278,0.4087235905994664,0.34334268272562285,0.594486501928296,0.44834643972853605,0.5111766150822894,0.4806236142547031,0.5056579783852512,0.49282307803744113,0.8069744517405212,0.8544041148039582,0.329733584022288,0.27745514380960834,0.48236362815460637,0.3580471977313994,0.4110107581401718,0.34212443537811454,0.5910635619886722,0.4482199102796602,0.509825208989252,0.47671959202978487,0.5080393290919607,0.4918814067181483,0.8000119763080051,0.849716957173267,0.34057182989564244,nan
0.23929892151205362,0.45819382114427076,0.3138212130414078,0.372508136221061,0.32041790062520564,0.5755023640661938,0.41958418614671983,0.4853280169459847,0.4721089018759755,0.49599491417673236,0.483757238397864,0.7985401709612786,0.85111091246062,0.2857304925995406,0.23350153723370998,0.4272206774366645,0.3049758755814443,0.3558935087325442,0.31437082243533854,0.5682952456002102,0.41299990455283003,0.47835940522911946,0.46593453836334797,0.4964719491035281,0.48071876369986666,0.7904677975737476,0.8464647989780497,0.2955649160570478,nan
0.29899425802766605,0.49900375426145166,0.3974481674581437,0.4424735401437036,0.3617334423548651,0.6001899335232669,0.4765700743294194,0.5312837756695089,0.5138687595270627,0.529688493324857,0.5216587173473017,0.8255298870604797,0.8702883229804248,0.26165885271271244,0.2998403881734021,0.49245405598440345,0.39838087692514806,0.4404503492642708,0.3604769521593718,0.6020643594414086,0.47322706881740956,0.5299273193672509,0.5014815293538119,0.5310584152689416,0.5158463605252215,0.8217295948391361,0.867894148496748,0.267266954649229,nan
0.2112882983612361,0.3235772380011892,0.40998333628824873,0.36169140008966905,0.2483592775397299,0.33343042306852105,0.4932672627383389,0.39789711505039965,0.3565669332589684,0.3884297520661158,0.37181697102536887,0.7311790169860936,0.7665312198887457,0.5639321172689262,0.20358318817836524,0.31975929272388787,0.3992064534159841,0.35509333756290795,0.245560702567072,0.3318335941575378,0.48573064808628424,0.394297447022818,0.3624041572311568,0.39352226720647776,0.37732271551362767,0.7225632693304411,0.7583610872261464,0.5761537791362831,nan
0.2940776056665511,0.46340322240912096,0.4007332678497425,0.4297957319045256,0.34815332091868406,0.5544982698961938,0.48335667348917377,0.5164892086330936,0.4908509309545615,0.5112523839796568,0.5008439846257303,0.8053107940251603,0.8566499572539173,0.30208522043127545,0.29097315828977793,0.4461492144908393,0.39854081748430636,0.42100336438773583,0.34616965876387557,0.5509870214854401,0.4821991027966021,0.5143031660388884,0.4828440866923669,0.5110468478889532,0.4965453249252169,0.8063197624214644,0.8549346759143939,0.30845184190583375,nan
