LRAP,acc,prec,rec,f1,hamming_loss,prec_at_5,rec_at_5,f1_at_5,prec_at_8,rec_at_8,f1_at_8,prec_at_15,rec_at_15,f1_at_15,prec_macro,rec_macro,f1_macro,prec_micro,rec_micro,f1_micro,auc_micro
0.402195652,0.238755238,0.322074782,0.322074782,0.391255844,2.563695131,0.638137604,0.638137604,0.321544165,0.554789442,0.554789442,0.381745075,0.420581257,0.420581257,0.409166067,0.048306583,0.048306583,0.05190876,0.298098828,0.298098828,0.368078813,0.739352959
0.392278995,0.220343349,0.281393576,0.281393576,0.367209771,2.963117057,0.611150652,0.611150652,0.306235127,0.53225089,0.53225089,0.364264128,0.410755239,0.410755239,0.398962315,0.038692268,0.038692268,0.044082637,0.265759221,0.265759221,0.350730829,0.756349464
0.394595147,0.224347679,0.290059534,0.290059534,0.37222457,2.878959548,0.620225386,0.620225386,0.312189056,0.540443357,0.540443357,0.371144581,0.414452353,0.414452353,0.40323062,0.042615111,0.042615111,0.048827289,0.270372732,0.270372732,0.351735979,0.750202438
0.392034019,0.223136457,0.288106017,0.288106017,0.370638335,2.878191921,0.611209964,0.611209964,0.306496807,0.53154656,0.53154656,0.364951428,0.41018189,0.41018189,0.398777563,0.040826352,0.040826352,0.045860136,0.271235078,0.271235078,0.353250308,0.751806851
0.394213013,0.218962464,0.277660583,0.277660583,0.364701293,3.012552237,0.617912218,0.617912218,0.310463957,0.537885528,0.537885528,0.369454245,0.412672993,0.412672993,0.401283759,0.041145626,0.041145626,0.047210995,0.261510945,0.261510945,0.347052071,0.756407767
0.395±0.004,0.225±0.007,0.292±0.016,0.292±0.016,0.373±0.009,2.859±0.156,0.62±0.01,0.62±0.01,0.311±0.006,0.539±0.008,0.539±0.008,0.37±0.006,0.414±0.004,0.414±0.004,0.402±0.004,0.042±0.003,0.042±0.003,0.048±0.003,0.273±0.013,0.273±0.013,0.354±0.007,0.751±0.006
