LRAP,acc,prec,rec,f1,hamming_loss,prec_at_5,rec_at_5,f1_at_5,prec_at_8,rec_at_8,f1_at_8,prec_at_15,rec_at_15,f1_at_15,prec_macro,rec_macro,f1_macro,prec_micro,rec_micro,f1_micro,auc_micro
0.643235607,0.39713792,0.565070906,0.565070906,0.562538322,0.445678476,0.551764025,0.551764025,0.542548949,0.458285136,0.458285136,0.544734489,0.324465009,0.324465009,0.468617771,0.559183204,0.559183204,0.488501419,0.576716951,0.576716951,0.565464896,0.74925257
0.637916711,0.378519163,0.468208649,0.468208649,0.549645473,0.568039199,0.53973395,0.53973395,0.533551033,0.450983227,0.450983227,0.538624548,0.321765953,0.321765953,0.465551949,0.468918015,0.468918015,0.505513257,0.469642139,0.469642139,0.551832749,0.782362591
0.642482712,0.387417607,0.568423621,0.568423621,0.555566524,0.441137356,0.550491614,0.550491614,0.539335052,0.459297282,0.459297282,0.545352048,0.322459996,0.322459996,0.465675871,0.558219023,0.558219023,0.478743461,0.585823634,0.585823634,0.558309184,0.740635592
0.6402571,0.39104725,0.501314936,0.501314936,0.561411935,0.516140687,0.537651822,0.537651822,0.52968378,0.451850781,0.451850781,0.538763525,0.324156545,0.324156545,0.468515315,0.505838189,0.505838189,0.507894603,0.505075758,0.505075758,0.563162563,0.775177603
0.648997683,0.395034084,0.569102053,0.569102053,0.561823676,0.440538527,0.554193175,0.554193175,0.544684955,0.461176981,0.461176981,0.549381827,0.323770966,0.323770966,0.467779022,0.561454457,0.561454457,0.479995469,0.584192791,0.584192791,0.564479526,0.746227635
0.643±0.004,0.39±0.007,0.534±0.042,0.534±0.042,0.558±0.005,0.482±0.052,0.547±0.007,0.547±0.007,0.538±0.006,0.456±0.004,0.456±0.004,0.543±0.004,0.323±0.001,0.323±0.001,0.467±0.001,0.531±0.037,0.531±0.037,0.492±0.012,0.544±0.048,0.544±0.048,0.561±0.005,0.759±0.017
